Arbeitsschritt;Subschritt;Kurztext;Volumen[mm^3];Kosten[($)];Dauer[min]; Werkzeug[mm](D);vf[m/min];ap[mm];ZSV[mm^3/min];Schweißnaht [mm]
2;2.1;Durchgehender zweiseitig abgeschrägter Absatz: 250.0[mm] x 92.1[mm] x 60.0[mm] (#38);-932512.5000000002;0.0;0.6643025894287193;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.2;Durchgehender zweiseitig abgeschrägter Absatz: 250.0[mm] x 92.1[mm] x 60.0[mm] (#41);-932512.5000000002;0.0;0.6643025894287193;Schruppfräser (40.0);3.119436884601149;18.0;1403746.5980705172;-
2;2.3;Rechteckige Tasche mit 132.0[mm] x 37.0[mm] x 32.0[mm] (#44);-156288.0;0.0;0.1496360328058641;Schruppfräser (32.0);3.4815143801352106;15.0;1044454.3140405633;-
2;2.4;Rechteckige Tasche mit 132.0[mm] x 37.0[mm] x 32.0[mm] (#47);-156288.0;0.0;0.1496360328058641;Schruppfräser (32.0);3.4815143801352106;15.0;1044454.3140405633;-
2;2.5;Rechteckige Tasche mit 96.0[mm] x 26.0[mm] x 25.0[mm] (#52);-62400.0;0.0;0.07366649440235806;Schruppfräser (25.0);3.921577797784301;12.0;847060.804321409;-
2;2.6;Rechteckige Tasche mit 96.0[mm] x 26.0[mm] x 25.0[mm] (#55);-62400.0;0.0;0.07366649440235806;Schruppfräser (25.0);3.921577797784301;12.0;847060.804321409;-
2;2.7;Rechteckige Tasche mit 96.0[mm] x 26.0[mm] x 25.0[mm] (#58);-62400.0;0.0;0.07366649440235806;Schruppfräser (25.0);3.921577797784301;12.0;847060.804321409;-
3;3.1;Bohrung Ø10 x 37.0[mm] (#65);-2905.9732045705596;0.0;0.024216443371421332;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.2;Bohrung Ø10 x 32.0[mm] (#68);-2513.274122871835;0.0;0.02094395102393196;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.3;Bohrung Ø10 x 50.0[mm] (#72);-3926.990816987238;0.0;0.03272492347489365;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.4;Bohrung Ø10 x 4.0[mm] (#76);-314.1592653589791;0.0;0.0026179938779914928;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.5;Bohrung Ø10 x 50.0[mm] (#79);-3926.990816987238;0.0;0.03272492347489365;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
3;3.6;Bohrung Ø10 x 32.0[mm] (#82);-2513.2741228718332;0.0;0.020943951023931946;Spiralbohrer (10.0);0.38197186342054884;8.5;120000.0;-
4;4.1;Geschweißte konisch zulaufende Aufnahme 4.0[mm]  (#118);-2425.3022443371497;0.0;0.0;- (-);-;-;-;62.8319[mm]
5;5.1;Geschleifte Anschlussfläche Rz 0.7 (#123);-7744.418762561759;0.0;0.0;- (-);-;-;-;-
5;5.2;Geschleifte Anschlussfläche Rz 0.7 (#126);-7822.958578901503;0.0;0.0;- (-);-;-;-;-
5;5.3;Geschleifte Anschlussfläche Rz 0.7 (#129);-7744.418762561758;0.0;0.0;- (-);-;-;-;-
5;5.4;Geschleifte Anschlussfläche Rz 0.7 (#132);-7822.958578901503;0.0;0.0;- (-);-;-;-;-
